Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/retrieve/Observation?_id=00f24302a7bc2daf16e6cb92c889a1a2ecc7d294e1ac61d7ed59f0b9,1,0,30688.808755992795,30688.808755992795,30688.808755992795,30688.808755992795,1549.0,0.0008360533767373236,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,GET /api/v1/retrieve/Observation?_id=00f27bf9b96169399d185a46945bfeea27e23680aa60c1864c0d55c3,1,0,26528.074511996238,26528.074511996238,26528.074511996238,26528.074511996238,1549.0,0.0008360533767373236,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,GET /api/v1/retrieve/Observation?_id=00f4c87d160740734511aec37a89a51ac8b44b246bb5caf877be5015,1,0,20379.135246999795,20379.135246999795,20379.135246999795,20379.135246999795,1549.0,0.0008360533767373236,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,GET /api/v1/retrieve/Observation?_id=00f81dad8fa9275e3eacad9c8ca11a2f62da8df224eb45a5f884e7be,1,0,35799.22778200125,35799.22778200125,35799.22778200125,35799.22778200125,1549.0,0.0008360533767373236,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,GET /api/v1/retrieve/Observation?_id=00f8628b87e093af3b9d4c4d0c734e83a132921c4c976fb46d19fec1,1,0,34909.18551599316,34909.18551599316,34909.18551599316,34909.18551599316,1549.0,0.0008360533767373236,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,GET /api/v1/retrieve/Observation?_id=00fabd3510ef93d5c71f2a79934e384b858408b74ae2d7b5d1113f6f,1,0,11573.428399002296,11573.428399002296,11573.428399002296,11573.428399002296,1549.0,0.0008360533767373236,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,GET /api/v1/retrieve/Observation?_id=00fcda14820d5aade9da2325c7507ca6ec2326d63915b1fa8c598045,1,0,47725.14957099338,47725.14957099338,47725.14957099338,47725.14957099338,1549.0,0.0008360533767373236,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,GET /api/v1/retrieve/Observation?_id=00fd41b4e8498631c1af80bc9f9c8ba39bc3db2db8314353106f9597,1,0,30249.9112910009,30249.9112910009,30249.9112910009,30249.9112910009,1549.0,0.0008360533767373236,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/v1/retrieve/Observation?_id=0107f3a5342f6ae4ab3ceec9540a705a3aa90dc2410ed381f02c101a,1,0,21262.81396500417,21262.81396500417,21262.81396500417,21262.81396500417,1549.0,0.0008360533767373236,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,GET /api/v1/retrieve/Observation?_id=0108aa731ffea5f5ab5bb0bac12e65b4f3c4a1de53b7765b6dc4a961,1,0,283.69712000130676,283.69712000130676,283.69712000130676,283.69712000130676,1549.0,0.0008360533767373236,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,GET /api/v1/retrieve/Observation?_id=0108b3e6e31722fbab91f3ed3966f74f17331419f645df26b0127795,1,0,2287.3875020013656,2287.3875020013656,2287.3875020013656,2287.3875020013656,1549.0,0.0008360533767373236,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,GET /api/v1/retrieve/Observation?_id=010c60ec5abcb93d7d53cebee04b577958264305ee5dc52550a59c2b,1,0,16203.68481100013,16203.68481100013,16203.68481100013,16203.68481100013,1549.0,0.0008360533767373236,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,GET /api/v1/retrieve/Observation?_id=0111ed95a424a571091a7a738927f217366a5f9eddc3950075b2a6ca,1,0,1554.7766809904715,1554.7766809904715,1554.7766809904715,1554.7766809904715,1549.0,0.0008360533767373236,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,GET /api/v1/retrieve/Observation?_id=011d17e7c661936a0dd733275abc23fb53e4477fcb1dbfe0ece7009a,1,0,9253.171703996486,9253.171703996486,9253.171703996486,9253.171703996486,1549.0,0.0008360533767373236,0.0,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
GET,GET /api/v1/retrieve/Observation?_id=0121ca1de2da0748895f1632fcf354b8a2bc606c2fc66e93a1952529,1,0,36768.8790300017,36768.8790300017,36768.8790300017,36768.8790300017,1549.0,0.0008360533767373236,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,GET /api/v1/retrieve/Observation?_id=0124d550d3ec5f5c344aa0c61affead569dcb63d8a2579ef072757a7,1,0,23570.952049994958,23570.952049994958,23570.952049994958,23570.952049994958,1549.0,0.0008360533767373236,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,GET /api/v1/retrieve/Observation?_id=0125bf2e647d31c82d3eab23e553f10ee041790b63e3acd885fe4551,1,1,1429.1396089975024,1429.1396089975024,1429.1396089975024,1429.1396089975024,36.0,0.0008360533767373236,0.0008360533767373236,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,GET /api/v1/retrieve/Observation?_id=012bafb1ee3674e14930296dad5287cea48212af917c7f8b14af6ed7,1,0,27591.469110993785,27591.469110993785,27591.469110993785,27591.469110993785,1549.0,0.0008360533767373236,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,GET /api/v1/retrieve/Observation?_id=012bdd42124cdda4bf576f855c77df658196739faa458aad2f249f7d,1,0,107.16363799292594,107.16363799292594,107.16363799292594,107.16363799292594,1549.0,0.0008360533767373236,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,GET /api/v1/retrieve/Observation?_id=013b4e33164cc1e9675b3727947536d45f68afae0aeb2efa7baef8af,1,0,23780.6903259916,23780.6903259916,23780.6903259916,23780.6903259916,1549.0,0.0008360533767373236,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
